model_type,stage,learning_rate,train_mae,validation_mae,test_mae
gradient_boosting,45,0.03,58.60987517513029,60.69889218251172,63.52075964393801
gradient_boosting,46,0.03,57.67266926687576,59.91171611691327,62.65861476827212
gradient_boosting,47,0.03,56.73446192093853,59.0448685171653,61.802460928479626
gradient_boosting,48,0.03,55.906533606843226,58.35018316113584,60.998846097287824
gradient_boosting,49,0.03,55.055776528195786,57.61345212813033,60.19816349162006
gradient_boosting,50,0.03,54.311439388685244,56.876871835098065,59.39231239330762
gradient_boosting,51,0.03,53.521460838673384,56.19605786513587,58.532489404478184
gradient_boosting,52,0.03,52.819879480734095,55.51465387214466,57.87908956922389
gradient_boosting,53,0.03,52.06495048422971,54.84338017346645,57.20531384748803
gradient_boosting,54,0.03,51.38167857133026,54.27120723559355,56.60214239989326
gradient_boosting,55,0.03,50.764552606677604,53.79382784832091,56.04203279043277
gradient_boosting,56,0.03,50.124814505434415,53.226788097504105,55.55168800841717
gradient_boosting,57,0.03,49.496235318512014,52.73538795254777,55.00277476167659
gradient_boosting,58,0.03,48.86341234887061,52.21860238912479,54.427648447339486
gradient_boosting,59,0.03,48.28930515232909,51.794254937482165,53.94223374221356
gradient_boosting,60,0.03,47.720989146917184,51.29847370766405,53.42804068232822
gradient_boosting,61,0.03,47.16342830416812,50.85939809272575,53.00082709979865
gradient_boosting,62,0.03,46.62789499845937,50.416465440582016,52.52861323781197
gradient_boosting,63,0.03,46.15550403337344,50.01744072726462,52.114354442967254
gradient_boosting,64,0.03,45.710119963138496,49.69224509162896,51.735394027418245
gradient_boosting,65,0.03,45.31743959304187,49.30005656253687,51.37894080047621
gradient_boosting,66,0.03,44.84271692741851,48.92000804658017,50.89478039168884
gradient_boosting,67,0.03,44.45377134179264,48.63813630204206,50.56142890479288
gradient_boosting,68,0.03,44.0667459641175,48.25560763048284,50.28477741213667
gradient_boosting,69,0.03,43.67107846722566,47.93808178469729,49.94689527737428
gradient_boosting,70,0.03,43.278718741310726,47.60303807146953,49.591515060795416
gradient_boosting,71,0.03,42.8920030022634,47.32245757382525,49.29458850724014
gradient_boosting,72,0.03,42.56825020501025,47.054801993330095,49.02242321907665
gradient_boosting,73,0.03,42.238736386880014,46.829979449416044,48.75254436599608
gradient_boosting,74,0.03,41.87007494145848,46.51764578682261,48.436542556630066
gradient_boosting,75,0.03,41.549818404911655,46.25827142393727,48.1220067474629
gradient_boosting,76,0.03,41.269827025551805,45.99147428552867,47.82871158316744
gradient_boosting,77,0.03,41.001509735358816,45.777057871825654,47.64292069568491
gradient_boosting,78,0.03,40.72505014826159,45.56424161016775,47.38733784558545
gradient_boosting,79,0.03,40.46426035569301,45.39542011397192,47.230189772569084
gradient_boosting,80,0.03,40.1955735842544,45.19592818065143,46.96331977677009
gradient_boosting,81,0.03,39.93174090173421,45.044309515524986,46.78578092331714
gradient_boosting,82,0.03,39.68167819301059,44.8766503748218,46.568163882865306
gradient_boosting,83,0.03,39.42597007775006,44.66919446155202,46.354897928343476
gradient_boosting,84,0.03,39.21227275010458,44.61424429994235,46.232551524432544
gradient_boosting,85,0.03,38.99146971995038,44.49074845812352,46.08924014766533
gradient_boosting,86,0.03,38.779490797726126,44.340071426960286,45.97054865720988
gradient_boosting,87,0.03,38.5708496817167,44.18995844388396,45.880277161038684
gradient_boosting,88,0.03,38.366374896897874,44.076895386074746,45.7832125343987
gradient_boosting,89,0.03,38.212644676404175,43.962329931211755,45.65734978042482
gradient_boosting,90,0.03,38.04841684661253,43.960828384021205,45.604346342433956
gradient_boosting,91,0.03,37.891412465520524,43.83144544779485,45.489648274617934
gradient_boosting,92,0.03,37.724654396629155,43.69066159861238,45.36273478421922
gradient_boosting,93,0.03,37.51257569277894,43.53817984958633,45.18851241266221
gradient_boosting,94,0.03,37.36274603293477,43.4566481378271,45.07107794050163
gradient_boosting,95,0.03,37.192438606356475,43.41947108677996,44.97926548615832
gradient_boosting,96,0.03,36.98678313899836,43.283032071167064,44.81800917939367
gradient_boosting,97,0.03,36.80610029860654,43.12284255512113,44.689054194147396
gradient_boosting,98,0.03,36.60015399482359,42.991592077526455,44.54905086068998
gradient_boosting,99,0.03,36.4161216456318,42.83356513365093,44.38868787242974
gradient_boosting,100,0.03,36.262867466130864,42.71719791406794,44.269607910187524
gradient_boosting,101,0.03,36.12488645726519,42.61431052155837,44.20245454909613
gradient_boosting,102,0.03,35.9379053201822,42.464908353372394,44.02983840830701
gradient_boosting,103,0.03,35.824222664708365,42.52301500469689,44.03486820829678
gradient_boosting,104,0.03,35.69348634654045,42.434738879090645,43.91039627850092
gradient_boosting,105,0.03,35.604263820991676,42.43623203077107,44.02563607706973
gradient_boosting,106,0.03,35.45693790066813,42.34716055628737,43.93455065619816
gradient_boosting,107,0.03,35.354825657480774,42.28841897323503,43.855484071496896
gradient_boosting,108,0.03,35.19000075918037,42.15219562550621,43.69587969548248
gradient_boosting,109,0.03,35.05170644613875,42.0495293229816,43.59523110522187
gradient_boosting,110,0.03,34.91370186150404,41.91549520314018,43.48684527764164
gradient_boosting,111,0.03,34.78414100329867,41.91494158771804,43.4292355481823
gradient_boosting,112,0.03,34.66796109594735,41.8190898884919,43.33063936143758
gradient_boosting,113,0.03,34.52832559755329,41.71632237646006,43.213912343926346
gradient_boosting,114,0.03,34.38486049946562,41.6559537929208,43.03667770517842
gradient_boosting,115,0.03,34.30057367609688,41.60357334205671,42.97679208254854
gradient_boosting,116,0.03,34.18509483264749,41.52008155376949,42.87913567978316
gradient_boosting,117,0.03,34.111713733635504,41.478890196456035,42.79672153584766
gradient_boosting,118,0.03,34.0369447872804,41.451151102842545,42.74538808330463
gradient_boosting,119,0.03,33.894501920008814,41.34163144822957,42.63333618597894
gradient_boosting,120,0.03,33.79416102749227,41.26231532613412,42.53659986635239
gradient_boosting,121,0.03,33.71066665590931,41.24654703008412,42.45802729960526
gradient_boosting,122,0.03,33.60584954415499,41.15792665912234,42.37375429338289
gradient_boosting,123,0.03,33.50757561876566,41.11643922480126,42.29863195265388
gradient_boosting,124,0.03,33.42739761266862,41.054735910580405,42.212340415228205
gradient_boosting,125,0.03,33.383447511451024,41.09278153904512,42.17397498943971
gradient_boosting,126,0.03,33.25969971313692,41.00644749795966,42.04827312218128
gradient_boosting,127,0.03,33.187523678546285,40.967457431963176,41.972014484114474
gradient_boosting,128,0.03,33.08951120581752,40.88952115982487,41.88024554270979
gradient_boosting,129,0.03,33.03134801644525,40.886375060257315,41.8327735563869
gradient_boosting,130,0.03,32.909064066385575,40.803210283361835,41.73480546665525
gradient_boosting,131,0.03,32.824251489721654,40.74049156664695,41.68584800786686
gradient_boosting,132,0.03,32.76158235210378,40.730498767733614,41.641849090591435
gradient_boosting,133,0.03,32.687601718749356,40.698860434044455,41.577293332817874
gradient_boosting,134,0.03,32.599897142903814,40.66749951147024,41.50980963204188
gradient_boosting,135,0.03,32.53555409787047,40.63948327511572,41.44779000957027
gradient_boosting,136,0.03,32.488354102453066,40.62527633884979,41.40459448438534
