,SHAP_NumValenceElectrons,SHAP_HeavyAtomCount,SHAP_LabuteASA,SHAP_Kappa1,SHAP_NumRotatableBonds,SHAP_MolLogP,SHAP_TPSA,SHAP_NumHAcceptors,SHAP_FractionCSP3,SHAP_HeteroAtomFraction
1462,173.43480495476305,114.1775698894674,83.13107726145515,77.11033017472322,107.74110425502695,15.952120945234752,10.425753621416527,4.3178208086787,39.49507540386331,24.127956323851006
571,-80.10232617626855,-61.41202495097931,-10.231735275096106,-8.378449391309712,-17.85375356877733,-4.444848303115661,-2.9843244880715756,-2.670091757508805,-15.10263054843955,-18.721496685814067
1953,-71.20282470309961,-53.381996019390755,-24.843071403211535,-27.066371437513073,-16.333642866618522,-3.810051975410405,-2.793347508640114,-2.9861889435256597,7.656186321097612,-12.082961362379319
1324,41.43300239560159,16.26930454279679,9.798294747027395,57.386257641053994,10.846823215589781,-4.8655814356009826,0.3995670046630599,1.1870517838470742,21.851092097386704,-3.8660035569365734
108,1.0832682323802727,-8.535396613978586,-9.574185189603156,8.108889126706432,38.27916178309629,-3.3011137542430915,1.2561582041295944,0.22355635154741896,13.848143389212073,4.513316002129787
496,27.105945670796356,43.715211755258935,-3.112386035816695,29.273112019967204,-3.108288918453139,-11.403566468280019,-12.22634520358031,-8.175688101515275,-24.313966275611378,-14.067972609919716
297,26.660608712608706,14.11081060745828,-3.8137201798872593,40.68133998450316,-18.51601054980775,3.6399631552385245,-2.2221507961831057,-3.6544921778789416,-3.9815093351100774,-4.6252627420562
1865,-53.50446281665997,-28.463041195992602,-20.278340380599158,-29.23132927283817,-13.287829547351935,-3.7241948723418283,-1.2761248200322368,-1.0848962618472284,-7.5248728815132235,5.228454960070612
569,-76.86557207202453,-49.54071879162787,48.37811959362039,37.35608629154376,-22.041479104592156,-9.693991378234779,-2.735746816518942,-1.8314164133299686,-23.839175697028463,-19.502507502549
1760,-53.13568680577455,-35.76009978159886,-25.44341346332244,-21.899071187628504,-12.312784738540143,-3.3818866355720316,-2.8580765795551666,-3.2357964257988105,-0.05850606923868379,3.2522939054814364
1199,63.34910253885968,31.0529011705985,28.82523202341262,80.89427778886669,61.5999623310534,8.369010214655834,16.74185913742783,4.915299560286137,30.22810145243823,17.96456279568231
1853,-37.82098985485944,-22.62820996553985,-12.805846660013131,-20.271522673587185,-12.32878084539236,-0.3997695628651137,4.313630837918218,-0.03933223411534666,-5.516930960358007,7.475926189095896
1267,-36.30364386235906,-21.056721723778505,-7.4515334321923525,-17.076814079989582,-12.723380303399166,-0.7005076514643321,3.5262409347868173,0.07657543455784502,-12.977892364780823,5.4978772845279735
1276,4.4155537720854205,-2.8054194840215296,2.2809674043947252,38.99711112018121,9.655636587712014,-6.139598039148091,0.6475546340670298,0.09596530205535599,7.538299043586773,6.440282701402525
349,-2.714221783645035,-6.286033908396341,-6.545034256972145,-6.326331698442459,-9.87183233501797,-4.815566048842334,-6.2193057980880795,0.4589924696267755,-11.505881567953582,3.785881130941301
556,3.8625528853136726,-3.6088084699631877,-4.519693620075849,3.4389954471992943,-2.329704491209186,-3.1330359038455735,-1.7078336203291493,0.0896009767450552,-4.843614153041659,4.600845741888754
604,24.95869219344332,74.84103956109004,41.95114367933202,-6.58122673736289,-25.57053913271875,16.090098796308908,-8.359274423061875,-16.014301693927145,-37.0144346984684,-3.49807550184635
305,-7.699090152684471,-10.53309200032196,-8.482012548514044,-21.68853299901202,-9.598850340488612,-3.1187028654202855,1.339518417633738,-0.48398859411894884,-3.019427058067104,5.029043257032497
1723,-46.09455274665237,-37.61590928467039,-37.8551074985526,-21.350594126492343,-14.612604096584914,-5.812769063921192,-0.07244829798784251,-1.549564442942555,8.421521698045018,-18.701304861580105
6,1.074187144449814,1.1652280840657663,0.7781966916354521,-6.80425546615134,-6.661087376812553,5.177062524692085,2.675633829650893,-1.2108271444589345,-12.264743484316549,7.419991852300305
1596,-40.65969552421715,-26.976892321750363,-14.3060734190893,-11.255108193609324,-7.573531222429103,0.19095970514401922,4.154771314534772,-0.3265594415714663,8.875394162566007,5.233120524207906
266,22.72488705369833,12.905169888161758,-0.4644705136996724,40.40926762548735,-20.044937471133625,-3.1638383607088962,-1.1576999474326624,-0.6161967481408351,-18.337611696617845,0.28635862322432654
1487,-34.81085102819061,-28.720891492508795,-19.861727799017416,-10.21772664515989,1.5132433025311045,-5.110982160112724,1.5940548646546424,-0.4421429035078861,8.916035180348167,-16.954786606804912
1927,-38.27319659000952,-31.118531753403435,-24.137221217954767,-13.304303670450679,-4.291629410206786,-6.521783002721432,-6.45803067131822,-1.1293187184779618,7.720327730463591,5.152063805364647
1973,-61.54464169883315,-41.921704651744015,-34.455768549296785,-28.172968845022073,-7.702271382458367,-5.014208685917503,-2.308607244747198,-0.9777796524965113,-3.045775527372115,3.910022679553949
1525,-37.618128639783514,-24.810622292110672,-12.74589119487493,-21.553531455458288,-12.008414783593489,0.331696796392236,3.5749945929233444,-0.9503181267362872,1.9230329748829516,7.981156513878348
1088,160.40758580014045,116.92664136488888,64.08152493979706,56.598782819505054,12.004563137316529,21.31402369585162,-3.1996012549226234,-5.014020860846355,9.98443408626931,-7.384121424066612
340,-16.609452973392436,-7.278717917588412,-4.292073583469716,-2.329590464718804,-13.498434835647489,-0.3403361881621719,-0.0014043885599350225,0.27043442982752375,-21.134353856488037,2.272956663270624
