model_type,stage,learning_rate,train_mae,validation_mae,test_mae
gradient_boosting,45,0.03,59.57424892321198,61.30462441710065,63.88032013380467
gradient_boosting,46,0.03,58.6633782911261,60.432650530320124,63.14856074624539
gradient_boosting,47,0.03,57.78939911579035,59.66072131890178,62.41302781770174
gradient_boosting,48,0.03,56.953593050981645,58.95822849998804,61.602829683926885
gradient_boosting,49,0.03,56.135222060108795,58.21330634156293,60.92140109999489
gradient_boosting,50,0.03,55.3610855255536,57.491941490209385,60.294440843882875
gradient_boosting,51,0.03,54.59775763746319,56.86802927949818,59.55974592151703
gradient_boosting,52,0.03,53.89071097787912,56.19786598165756,58.9839495808669
gradient_boosting,53,0.03,53.19378059470289,55.59522413131052,58.470521631604406
gradient_boosting,54,0.03,52.55374419602544,55.04750180226552,57.881376010513385
gradient_boosting,55,0.03,51.91441325042786,54.479465152823174,57.37183225181317
gradient_boosting,56,0.03,51.26849984364345,53.89612371702752,56.85662046615753
gradient_boosting,57,0.03,50.643692784353206,53.399837913457915,56.30909382599773
gradient_boosting,58,0.03,50.05287252285583,52.913454462804545,55.85246966644609
gradient_boosting,59,0.03,49.491525323006655,52.48539486339906,55.312779541546995
gradient_boosting,60,0.03,48.947426173721496,51.97635996941581,54.8163179940396
gradient_boosting,61,0.03,48.391057776303846,51.576127885723736,54.312072463867864
gradient_boosting,62,0.03,47.927875198998855,51.17675132916949,53.9502567277134
gradient_boosting,63,0.03,47.4907942224296,50.90100312545645,53.508170573483234
gradient_boosting,64,0.03,47.03945546048334,50.489896933120946,53.015735209232304
gradient_boosting,65,0.03,46.58992229497886,50.10355128101674,52.613009611929286
gradient_boosting,66,0.03,46.11080630921967,49.68982995395085,52.238221583544465
gradient_boosting,67,0.03,45.746607118976605,49.46249431563872,51.91078679628408
gradient_boosting,68,0.03,45.327390847361144,49.1241655768728,51.47893268968545
gradient_boosting,69,0.03,44.92042962812494,48.80763781853775,51.07508341264809
gradient_boosting,70,0.03,44.52937345971709,48.54364738335293,50.698448347154724
gradient_boosting,71,0.03,44.14518940880585,48.215788264362146,50.34866960593419
gradient_boosting,72,0.03,43.824425652820125,47.9940102095892,50.06125857075981
gradient_boosting,73,0.03,43.49007984709865,47.72323411372097,49.76668946839588
gradient_boosting,74,0.03,43.1892174968327,47.4723891960797,49.523159533253434
gradient_boosting,75,0.03,42.84108426944573,47.11241363442465,49.138086182471405
gradient_boosting,76,0.03,42.590579387742004,46.899028074795694,48.868092263823065
gradient_boosting,77,0.03,42.27623686668014,46.620770620744366,48.57089108077445
gradient_boosting,78,0.03,42.00819931832629,46.42858619146498,48.31729257591455
gradient_boosting,79,0.03,41.736326363131354,46.23429976564246,48.118791467969395
gradient_boosting,80,0.03,41.43375669024679,45.946293404352055,47.77666856697206
gradient_boosting,81,0.03,41.16173600267136,45.72237323549997,47.54364669658673
gradient_boosting,82,0.03,40.90754834222052,45.528027053455745,47.31196463974846
gradient_boosting,83,0.03,40.680274268422444,45.342404742224836,47.0373185883101
gradient_boosting,84,0.03,40.45042160163747,45.14629987484621,46.84978120390378
gradient_boosting,85,0.03,40.23551948886337,45.00898054212292,46.70055699411661
gradient_boosting,86,0.03,40.06020035912798,44.8900047433319,46.540746808785876
gradient_boosting,87,0.03,39.80578226559772,44.65341058701821,46.32610800895281
gradient_boosting,88,0.03,39.57071551541215,44.44481481281283,46.07859089642892
gradient_boosting,89,0.03,39.3668601356206,44.292822357138654,45.876293964135726
gradient_boosting,90,0.03,39.14929567732885,44.055967349068226,45.68263314450136
gradient_boosting,91,0.03,38.947484650706784,43.903087953588276,45.52506642674502
gradient_boosting,92,0.03,38.74597266556358,43.751181662473265,45.33605967594272
gradient_boosting,93,0.03,38.54767423146785,43.56999602126693,45.180825920289045
gradient_boosting,94,0.03,38.36225920092709,43.427074295848286,45.005877904028836
gradient_boosting,95,0.03,38.18033932019712,43.30226052692291,44.83707099458348
