name,smiles,group,formula,molecular_weight,rotatable_bonds,heat_capacity,canonical_smiles
"2-methyl-2,4-pentanediol",CC(O)CC(C)(C)O,NIST_XML_SetB,C6H14O2,118.175999999999,2,263.09,CC(O)CC(C)(C)O
3-methyl-1-propyl-1H-imidazolium (S)-2-amino-4-carboxybutanoate,CCCn1cc[n+](C)c1.N[C@@H](CCC(=O)[O-])C(=O)O,NIST_XML_SetB,C12H21N3O4,271.316999999999,6,516.83,CCCn1cc[n+](C)c1.N[C@@H](CCC(=O)[O-])C(=O)O
"1,7-heptanediol",OCCCCCCCO,NIST_XML_SetB,C7H16O2,132.203,6,296.11,OCCCCCCCO
"1,9-diaminononane",NCCCCCCCCCN,NIST_XML_SetB,C9H22N2,158.289,8,398.93,NCCCCCCCCCN
1-butyl-3-methylpyridinium trifluoromethanesulfonate,CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F,NIST_XML_SetB,C11H16F3NO3S,299.313999999999,3,520.0,CCCC[n+]1cccc(C)c1.O=S(=O)([O-])C(F)(F)F
diisobutyl ether,CC(C)COCC(C)C,NIST_XML_SetB,C8H18O,130.231,4,276.08,CC(C)COCC(C)C
"4-oxa-1,7-heptanediol",OCCCOCCCO,NIST_XML_SetB,C6H14O3,134.174999999999,6,329.0,OCCCOCCCO
tetradecanoic acid,CCCCCCCCCCCCCC(=O)O,NIST_XML_SetB,C14H28O2,228.375999999999,12,509.2671516,CCCCCCCCCCCCCC(=O)O
ethyl heptanoate,CCCCCCC(=O)OCC,NIST_XML_SetB,C9H18O2,158.241,6,318.3,CCCCCCC(=O)OCC
3-nitrobenzenesulfonamide,NS(=O)(=O)c1cccc([N+](=O)[O-])c1,NIST_XML_SetB,C6H6N2O4S,202.191,2,199.9607981016,NS(=O)(=O)c1cccc([N+](=O)[O-])c1
1-methyl-3-octylimidazolium L-alaninate,CCCCCCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-],NIST_XML_SetB,C15H29N3O2,283.416,8,592.06,CCCCCCCCn1cc[n+](C)c1.C[C@H](N)C(=O)[O-]
2-ethyl-1-butanol,CCC(CC)CO,NIST_XML_SetB,C6H14O,102.176999999999,3,250.7,CCC(CC)CO
methyl levulinate,COC(=O)CCC(C)=O,NIST_XML_SetB,C6H10O3,130.143,3,258.8520402,COC(=O)CCC(C)=O
