formula,chemical_compound_name,Cp_298_J_per_molK,calculation_method,comment,smiles,pubchem_cid,pubchem_matched_name,lookup_status,smiles_found
C6H12,"2,3-dimethyl-2-butene",133.841,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(C)=C(C)C,11250.0,"2,3-dimethylbut-2-ene",ok,True
C5H10O,3-methyl-2-butanone,122.776,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(=O)C(C)C,11251.0,3-methylbutan-2-one,ok,True
C2H5NO2,2-aminoacetic acid,87.045,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,NCC(=O)O,750.0,2-aminoacetic acid,ok,True
C3H8O3,glycerol,116.224,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,OCC(O)CO,753.0,"propane-1,2,3-triol",ok,True
CH4N2O,urea,73.868,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,NC(N)=O,1176.0,urea,ok,True
C3H8O2,"1,2-propanediol",103.031,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,R || S,CC(O)CO,1030.0,"propane-1,2-diol",ok,True
C3H4O2,2-oxetanone,69.885,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,O=C1CCO1,2365.0,oxetan-2-one,ok,True
C5H12O,3-pentanol,130.63,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CCC(O)CC,11428.0,pentan-3-ol,ok,True
C4H8,(Z)-2-butene,85.435,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C/C=C\C,5287573.0,(Z)-but-2-ene,ok,True
C4H6,"1,2-butadiene",79.115,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,C=C=CC,11535.0,"buta-1,2-diene",ok,True
C5H10O,3-methylbutanal,119.236,b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,CC(C)CC=O,11552.0,3-methylbutanal,ok,True
