name,smiles,group,formula,molecular_weight,rotatable_bonds,H_bond_donors,H_bond_acceptors,TPSA,logP,melting_point,boiling_point,heat_capacity,mw_bin,rb_bin
tert-butyl acetoacetate,CC(=O)CC(=O)OC(C)(C)C,Thermo_Experimental,C8H14O3,158.197,4.0,0.0,3.0,43.37,1.31,-38,183.85,275.53,150-200,2-4
triethyl phosphonoacetate,CCOC(=O)CP(=O)(OCC)OCC,Thermo_Experimental,C8H17O5P,224.193,8.0,0.0,5.0,61.83,1.82,92.5,261,355.61,200-260,8-11
pentane,CCCCC,Thermo_Experimental,C5H12,72.151,2.0,0.0,0.0,0,2.2,-130,36.06,167.12,<100,2-4
"1,8-diazabicyclo[5.4.0]undec-7-ene",C1CCC2=NCCCN2CC1,Thermo_Experimental,C9H16N2,152.241,0.0,0.0,2.0,15.6,1.66,-70,242.55,285.69,150-200,0-1
n-methyldiethanolamine,CN(CCO)CCO,Thermo_Experimental,C5H13NO2,119.164,4.0,2.0,3.0,43.7,-1.1,-21,245,267.41,100-150,2-4
methylcyclopentane,CC1CCCC1,Thermo_Experimental,C6H12,84.162,0.0,0.0,0.0,0,2.2,-142.5,71.8,175.48,<100,0-1
"n,n'-methylenebisacrylamide",C=CC(=O)NCNC(=O)C=C,Thermo_Experimental,C7H10N2O2,154.169,4.0,2.0,2.0,58.2,-0.45,185,288.05,241.88,150-200,2-4
1-butanethiol,CCCCS,Thermo_Experimental,C4H10S,90.191,2.0,1.0,1.0,0,1.72,-116,109.61,162.49,<100,2-4
dichlormid,C=CCN(CC=C)C(=O)C(Cl)Cl,Thermo_Experimental,C8H11Cl2NO,208.088,5.0,0.0,1.0,20.31,1.99,5.5,130,278.38,200-260,5-7
1-hexadecanol,CCCCCCCCCCCCCCCCO,Thermo_Experimental,C16H34O,242.447,14.0,1.0,1.0,20.23,5.46,49.5,334,577.53,200-260,12+
"1,4-dithiane",C1CSCCS1,Thermo_Experimental,C4H8S2,120.242,0.0,0.0,2.0,0,1.47,111.65,115.6,167.57,100-150,0-1
octamethyltrisiloxane,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,Thermo_Experimental,C8H24O2Si3,236.536,4.0,0.0,2.0,18.46,3.39,-80,152.48,421.72,200-260,2-4
di(trimethylolpropane),CCC(CO)(CO)COCC(CC)(CO)CO,Thermo_Experimental,C12H26O5,250.335,10.0,4.0,5.0,90.15,-0.24,109.5,215,460.45,200-260,8-11
butanediol dimethacrylate,C=C(C)C(=O)OCCCCOC(=O)C(=C)C,Thermo_Experimental,C12H18O4,226.272,9.0,0.0,4.0,52.6,2.01,226.28,110,380.74,200-260,8-11
"n,n-diethyldodecanamide",CCCCCCCCCCCC(=O)N(CC)CC,Thermo_Experimental,C16H33NO,255.446,12.0,0.0,1.0,20.31,4.78,4,358.84,513.72,200-260,12+
2212-32-0,CN(C)CCN(C)CCO,Thermo_Experimental,C7H18N2O,146.234,5.0,1.0,3.0,26.71,-0.53,21.26,207.05,287.26,100-150,5-7
triethyl phosphate,CCOP(=O)(OCC)OCC,Thermo_Experimental,C6H15O4P,182.156,6.0,0.0,4.0,44.76,2.2,-56.2,216,295.61,150-200,5-7
"3-acetyl-6-methyl-2h-pyran-2,4(3h)-dione",CC(=O)C1C(=O)C=C(C)OC1=O,Thermo_Experimental,C8H8O4,168.148,1.0,0.0,4.0,60.44,0.22,109,270,238.24,150-200,0-1
phorate,CCOP(=S)(OCC)SCSCC,Thermo_Experimental,C7H17O2PS3,260.386,8.0,0.0,5.0,18.46,3.73,-42.78,126.11,359.9,260-350,8-11
1-ethoxy-2-propanol,CCOCC(C)O,Thermo_Experimental,C5H12O2,104.149,3.0,1.0,2.0,29.46,0.4,-100,131,198.84,100-150,2-4
"n,n-dimethyl-1,3-propanediamine",CN(C)CCCN,Thermo_Experimental,C5H14N2,102.181,3.0,1.0,2.0,29.26,-0.1,-70,122.78,208.72,100-150,2-4
1-methyl-2-pyrrolidinone,CN1CCCC1=O,Thermo_Experimental,C5H9NO,99.133,0.0,0.0,1.0,20.31,0.24,-24,204.2,175.11,<100,0-1
2-(diisopropylamino)ethanol,CC(C)N(CCO)C(C)C,Thermo_Experimental,C8H19NO,145.246,4.0,1.0,2.0,23.47,1.1,-39,195,344.57,100-150,2-4
methyl ethyl ketoxime,CCC(C)=NO,Thermo_Experimental,C4H9NO,87.122,1.0,1.0,2.0,32.59,1.25,-29.5,151.5,160.48,<100,0-1
3-pentanone,CCC(=O)CC,Thermo_Experimental,C5H10O,86.134,2.0,0.0,1.0,17.07,1.38,-42.22,101.9,166.23,<100,2-4
3-methylhexane,CCCC(C)CC,Thermo_Experimental,C7H16,100.205,3.0,0.0,0.0,0,2.83,-119,91,216.02,100-150,2-4
2-propoxyethanol,CCCOCCO,Thermo_Experimental,C5H12O2,104.149,4.0,1.0,2.0,29.46,0.41,-75,152,198.84,100-150,2-4
methyl 3-mercaptopropionate,COC(=O)CCS,Thermo_Experimental,C4H8O2S,120.173,3.0,1.0,3.0,26.3,0.48,38,166,176.67,100-150,2-4
methyl 2-nonynoate,CCCCCCC#CC(=O)OC,Thermo_Experimental,C10H16O2,168.236,5.0,0.0,2.0,26.3,2.13,77.74,121.5,303.23,150-200,5-7
hexyl octanoate,CCCCCCCC(=O)OCCCCCC,Thermo_Experimental,C14H28O2,228.376,12.0,0.0,2.0,26.3,4.47,-30.6,277,450.21,200-260,12+
sorbic alcohol,C/C=C/C=C/CO,Thermo_Experimental,C6H10O,98.145,2.0,1.0,1.0,20.23,1.11,31,164.23,181.48,<100,2-4
1-bromotridecane,CCCCCCCCCCCCCBr,Thermo_Experimental,C13H27Br,263.263,11.0,0.0,0.0,0,5.69,6.2,292,454.01,260-350,8-11
pentyl valerate,CCCCCOC(=O)CCCC,Thermo_Experimental,C10H20O2,172.268,8.0,0.0,2.0,26.3,2.91,-78.8,204,332.46,150-200,8-11
nonanoyl chloride,CCCCCCCCC(=O)Cl,Thermo_Experimental,C9H17ClO,176.687,7.0,0.0,1.0,17.07,3.5,-60.75,218,308.31,150-200,5-7
n-methylpyrrolidine,CN1CCCC1,Thermo_Experimental,C5H11N,85.15,0.0,0.0,1.0,3.24,0.71,-90,206.1,171.24,<100,0-1
"2,4-hexadienyl isobutyrate",CC=CC=CCOC(=O)C(C)C,Thermo_Experimental,C10H16O2,168.236,5.0,0.0,2.0,26.3,2.32,-53.52,221.35,303.23,150-200,5-7
icaridin,CCC(C)OC(=O)N1CCCCC1CCO,Thermo_Experimental,C12H23NO3,229.32,5.0,1.0,3.0,49.77,2.16,-170,296,419.13,200-260,5-7
