############################################################################,,,,,,,,,,
The table contains calculated ideal-gas properties,,,,,,,,,,
,,,,,,,,,,
Abbreviation,Meaning,Units,,,,,,,,
Formula,Molecular formula,,,,,,,,,
Name,Compound name,,,,,,,,,
Nconf,Number of conformers,,,,,,,,,
H,Enthalpy H(298.15 K) - H(0 K),kJ/mol,,,,,,,,
S,"Absolute entropy S0(298.15 K, 100 kPa)",J/K/mol,,,,,,,,
Cp298,Heat capacity Cp at T=298.15 K,J/K/mol,,,,,,,,
Cp400,Heat capacity Cp at T=400 K,J/K/mol,,,,,,,,
Cp500,Heat capacity Cp at T=500 K,J/K/mol,,,,,,,,
dHf,Enthalpy of formation at T=298.15 K,kJ/mol,,,,,,,,
+/-dHf,Expanded (k=2) uncertainty of formation enthalpy,kJ/mol,,,,,,,,
Dipole,Dipole moment (debye),Debye,,,,,,,,
Comment,Comment,,,,,,,,,
"R,S,RR,RS",Stereo states,,,,,,,,,
||,Identical stereo states,,,,,,,,,
,,,,,,,,,,
The computation methods are described in the publications:,,,,,,,,,,
"Paulechka, E. and Kazakov, A., 2018. Efficient estimation of formation enthalpies for closed-shell organic compounds with local coupled-cluster methods. Journal of Chemical Theory and Computation, 14(11), pp.5920-5932.",,,,,,,,,,
"Paulechka, E. and Kazakov, A., 2019. Critical evaluation of the enthalpies of formation for fluorinated compounds using experimental data and high-level ab initio calculations. Journal of Chemical & Engineering Data, 64(11), pp.4863-4874.",,,,,,,,,,
,,,,,,,,,,
############################################################################,,,,,,,,,,
# ,,,,,,,,,,
# MODEL: b3lyp-d3(bj)/def2-tzvp + LCCSD(T)/aug-cc-pvQZ//DF-MP2/aug-cc-pvQZ,,,,,,,,,,
"# Units: H,dHf - kJ/mol, S,Cp - J/mol/K",,,,,,,,,,
# ,,,,,,,,,,
C4H4O2,4-methylene-2-oxetanone,1,16.155,305.062,87.026,110.464,129.270,-191.30,2.80,
CH4O,methanol,1,11.304,238.610,45.585,54.050,62.634,-201.74,2.57,
C3H8O,propan-2-ol,2,17.284,308.195,89.074,112.173,133.142,-273.29,2.60,
C3H6O,acetone,1,16.923,308.075,79.632,97.959,114.618,-216.56,2.56,
C3H7NO,dimethylformamide,1,18.656,319.631,92.883,114.696,135.464,-193.93,2.65,
C2H6O2,dimethyl peroxide,1,17.290,305.175,80.281,97.787,114.437,-122.23,2.70,
C6H10,1-hexyne,5,23.395,368.984,120.976,153.956,183.076,124.22,2.61,
C6H10,1-methylcyclopentene,1,18.896,323.454,105.709,142.049,174.469,-4.37,2.61,
C6H14,2-methylpentane,7,25.658,380.183,135.363,176.148,214.041,-173.51,2.72,
C3H8O,propan-1-ol,5,17.612,320.830,86.267,109.287,130.651,-255.62,2.60,
C4H10O,butan-1-ol,15,22.210,360.196,106.733,136.649,164.303,-275.59,2.64,
C6H6,benzene,1,14.190,269.047,81.815,112.560,138.244,83.92,2.57,
C4H8O2,butanoic acid,8,22.293,365.301,109.568,138.703,164.407,-472.43,2.68,
CH4,methane,1,10.019,186.191,35.554,40.347,46.169,-73.58,2.53,
C3H8,propane,1,14.488,269.174,71.126,91.535,111.052,-104.97,2.58,
C3H7NO2,1-nitropropane,2,21.459,363.494,102.091,128.817,152.890,-125.91,2.74,
C2H7N,ethylamine,2,14.249,281.688,69.038,87.408,104.515,-51.14,2.67,
C2H4O,ethanal,1,12.746,262.507,55.658,67.285,78.246,-166.23,2.55,
CH3NO,formamide,1,12.324,257.338,53.769,63.231,71.668,-189.75,2.65,
C4H6O2,vinyl acetate,3,20.741,345.274,104.104,128.720,149.842,-314.77,2.78,
C3H6,cyclopropane,1,11.401,237.351,55.367,75.672,93.425,55.37,2.54,
C2H4O,oxirane,1,10.814,242.719,47.441,62.021,75.178,-52.64,2.55,
C4H10,2-methylpropane,1,17.645,293.928,94.045,121.224,146.634,-133.87,2.62,
C3H9N,2-propanamine,2,18.157,309.442,92.130,117.450,140.471,-85.81,2.70,
C3H9N,trimethylamine,1,17.007,289.187,88.423,112.573,135.824,-26.50,2.70,
C3H6O,methyloxirane,1,14.181,280.156,71.043,91.927,110.693,-93.91,2.56,R || S
C4H11N,2-methyl-2-propanamine,1,20.623,325.404,116.998,149.184,177.801,-122.03,2.73,
C4H10O,2-methylpropan-2-ol,1,20.452,324.834,114.263,144.185,170.705,-312.61,2.64,
C6H14,"2,2-dimethylbutane",1,24.448,358.341,139.520,180.216,217.393,-183.36,2.72,
C5H12O,2-methylbutan-2-ol,5,24.350,373.398,135.054,171.699,204.401,-330.91,2.67,
C6H12,3-methyl-1-pentene,9,25.434,369.869,127.548,164.876,198.741,-48.66,2.64,R || S
C6H12,2-ethyl-1-butene,4,24.653,372.126,126.786,164.375,198.291,-54.40,2.64,
C6H12,2-methyl-1-pentene,5,23.940,375.528,127.039,164.539,198.440,-57.28,2.64,
